Epoch =   0, Iter= 159, Average Epoch Loss= 46315.6092521620
Epoch =   1, Iter= 159, Average Epoch Loss= 27819.5624140134
Epoch =   2, Iter= 159, Average Epoch Loss= 18645.2047587461
Epoch =   3, Iter= 159, Average Epoch Loss= 13192.4942941726
Epoch =   4, Iter= 159, Average Epoch Loss= 9678.4690263856
Epoch =   5, Iter= 159, Average Epoch Loss= 7293.9818537490
Epoch =   6, Iter= 159, Average Epoch Loss= 5614.1377812991
Epoch =   7, Iter= 159, Average Epoch Loss= 4395.7215384237
Epoch =   8, Iter= 159, Average Epoch Loss= 3490.9589198850
Epoch =   9, Iter= 159, Average Epoch Loss= 2805.9094315055
Epoch =  10, Iter= 159, Average Epoch Loss= 2278.6515222705
Epoch =  11, Iter= 159, Average Epoch Loss= 1867.1212281041
Epoch =  12, Iter= 159, Average Epoch Loss= 1542.0566007026
Epoch =  13, Iter= 159, Average Epoch Loss= 1282.4805739301
Epoch =  14, Iter= 159, Average Epoch Loss= 1073.2867646607
Epoch =  15, Iter= 159, Average Epoch Loss= 903.2952926924
Epoch =  16, Iter= 159, Average Epoch Loss= 764.1283834205
Epoch =  17, Iter= 159, Average Epoch Loss= 649.4297078451
Epoch =  18, Iter= 159, Average Epoch Loss= 554.3199704728
Epoch =  19, Iter= 159, Average Epoch Loss= 475.0143342408
Epoch =  20, Iter= 159, Average Epoch Loss= 408.5488050929
Epoch =  21, Iter= 159, Average Epoch Loss= 352.5824304737
Epoch =  22, Iter= 159, Average Epoch Loss= 305.2516930538
Epoch =  23, Iter= 159, Average Epoch Loss= 265.0624088311
Epoch =  24, Iter= 159, Average Epoch Loss= 230.8086290659
Epoch =  25, Iter= 159, Average Epoch Loss= 201.5191574577
Epoch =  26, Iter= 159, Average Epoch Loss= 176.3768159878
Epoch =  27, Iter= 159, Average Epoch Loss= 154.7334948846
Epoch =  28, Iter= 159, Average Epoch Loss= 136.0499312683
Epoch =  29, Iter= 159, Average Epoch Loss= 119.8766797624
Epoch =  30, Iter= 159, Average Epoch Loss= 105.8398826647
Epoch =  31, Iter= 159, Average Epoch Loss= 93.6272016801
Epoch =  32, Iter= 159, Average Epoch Loss= 82.9766539088
Epoch =  33, Iter= 159, Average Epoch Loss= 73.7071103270
Epoch =  34, Iter= 159, Average Epoch Loss= 65.5367357506
Epoch =  35, Iter= 159, Average Epoch Loss= 58.3719316638
Epoch =  36, Iter= 159, Average Epoch Loss= 52.0742510670
Epoch =  37, Iter= 159, Average Epoch Loss= 46.5275203537
Epoch =  38, Iter= 159, Average Epoch Loss= 41.5696730944
Epoch =  39, Iter= 159, Average Epoch Loss= 37.2886546633
Epoch =  40, Iter= 159, Average Epoch Loss= 33.4764370348
Epoch =  41, Iter= 159, Average Epoch Loss= 30.0162188452
Epoch =  42, Iter= 159, Average Epoch Loss= 26.9496124436
Epoch =  43, Iter= 159, Average Epoch Loss= 24.2407378071
Epoch =  44, Iter= 159, Average Epoch Loss= 21.8328401817
Epoch =  45, Iter= 159, Average Epoch Loss= 19.6939812066
Epoch =  46, Iter= 159, Average Epoch Loss= 17.7859880219
Epoch =  47, Iter= 159, Average Epoch Loss= 16.0860737315
Epoch =  48, Iter= 159, Average Epoch Loss= 14.5311286674
Epoch =  49, Iter= 159, Average Epoch Loss= 13.1604513852
Epoch =  50, Iter= 159, Average Epoch Loss= 11.9330926091
Epoch =  51, Iter= 159, Average Epoch Loss= 10.8295334090
Epoch =  52, Iter= 159, Average Epoch Loss= 9.8383151900
Epoch =  53, Iter= 159, Average Epoch Loss= 8.9469297817
Epoch =  54, Iter= 159, Average Epoch Loss= 8.1750811961
Epoch =  55, Iter= 159, Average Epoch Loss= 7.4151674876
Epoch =  56, Iter= 159, Average Epoch Loss= 6.7583150294
Epoch =  57, Iter= 159, Average Epoch Loss= 6.1651370120
Epoch =  58, Iter= 159, Average Epoch Loss= 5.6288937803
Epoch =  59, Iter= 159, Average Epoch Loss= 5.1434163597
Epoch =  60, Iter= 159, Average Epoch Loss= 4.7035079602
Epoch =  61, Iter= 159, Average Epoch Loss= 4.3045738118
Epoch =  62, Iter= 159, Average Epoch Loss= 3.9424478513
Epoch =  63, Iter= 159, Average Epoch Loss= 3.6134774520
Epoch =  64, Iter= 159, Average Epoch Loss= 3.3143810791
Epoch =  65, Iter= 159, Average Epoch Loss= 3.0422622348
Epoch =  66, Iter= 159, Average Epoch Loss= 2.7944795096
Epoch =  67, Iter= 159, Average Epoch Loss= 2.5686959156
Epoch =  68, Iter= 159, Average Epoch Loss= 2.3627944457
Epoch =  69, Iter= 159, Average Epoch Loss= 2.1748917703
Epoch =  70, Iter= 159, Average Epoch Loss= 2.0033357203
Epoch =  71, Iter= 159, Average Epoch Loss= 1.8465729322
Epoch =  72, Iter= 159, Average Epoch Loss= 1.7032302543
Epoch =  73, Iter= 159, Average Epoch Loss= 1.5720738083
Epoch =  74, Iter= 159, Average Epoch Loss= 1.4519795689
Epoch =  75, Iter= 159, Average Epoch Loss= 1.3419744534
Epoch =  76, Iter= 159, Average Epoch Loss= 1.2411646213
Epoch =  77, Iter= 159, Average Epoch Loss= 1.1486905161
Epoch =  78, Iter= 159, Average Epoch Loss= 1.0638222065
Epoch =  79, Iter= 159, Average Epoch Loss= 0.9858957870
Epoch =  80, Iter= 159, Average Epoch Loss= 0.9143080824
Epoch =  81, Iter= 159, Average Epoch Loss= 0.8485035150
Epoch =  82, Iter= 159, Average Epoch Loss= 0.7879986444
Epoch =  83, Iter= 159, Average Epoch Loss= 0.7322985995
Epoch =  84, Iter= 159, Average Epoch Loss= 0.6810141041
Epoch =  85, Iter= 159, Average Epoch Loss= 0.6337886734
Epoch =  86, Iter= 159, Average Epoch Loss= 0.5902733529
Epoch =  87, Iter= 159, Average Epoch Loss= 0.5501285368
Epoch =  88, Iter= 159, Average Epoch Loss= 0.5131094566
Epoch =  89, Iter= 159, Average Epoch Loss= 0.4789417931
Epoch =  90, Iter= 159, Average Epoch Loss= 0.4473941054
Epoch =  91, Iter= 159, Average Epoch Loss= 0.4182581300
Epoch =  92, Iter= 159, Average Epoch Loss= 0.3913224403
Epoch =  93, Iter= 159, Average Epoch Loss= 0.3664155020
Epoch =  94, Iter= 159, Average Epoch Loss= 0.3433844593
Epoch =  95, Iter= 159, Average Epoch Loss= 0.3220633536
Epoch =  96, Iter= 159, Average Epoch Loss= 0.3023379951
